,project_status,length,build_year,underground,p_nom,tags,x0,y0,x1,y1
PCI-2.6.2-05,under_construction,895.5,2029,True,1000.0,"{ ""pci_code"": ""2.6.2"", ""corridor"": ""NSI East Electricity"", ""short_title"": ""EuroAsia Kofinou (CY)-Crete (EL) line"", ""full_title"": ""Interconnection between Kofinou (CY) and Korakia, Crete (EL)"", ""description"": ""<p>The project forms part of the Cluster 2.6. Its main objective is the construction and commissioning of the electricity interconnector between Cyprus and Greece (Crete). The interconnector will have a capacity of 1000 MW and +\/- 500kVdc bipolar configuration, with an offshore length of approx. 898 km between Cyprus and Greece (Crete), while its onshore length will be approx. 23 km (around 13 km in Cyprus and 10 km in Greece (Crete). Converter stations will be of the Voltage Source Converter (VSC) and will allow for reverse transmission of electricity. The installation depth of the cable in some areas between CY and EL is expected to reach 3000 m.<\/p>\n"", ""countries"": ""CY, EL"", ""promoters"": ""Independent Power Transmission Operator (IPTO) (EL)"", ""project_sheet"": ""https:\/\/ec.europa.eu\/assets\/cinea\/project_fiches\/cef\/cef_energy\/3.10.1-0004-CYEL-S-M-16.pdf ; https:\/\/ec.europa.eu\/assets\/cinea\/project_fiches\/cef\/cef_energy\/3.10.1-0028-CY-S-M-14.pdf ; https:\/\/ec.europa.eu\/info\/funding-tenders\/opportunities\/portal\/screen\/opportunities\/projects-details\/43251567\/101069980\/CEF2027"", ""studies_works"": ""Studies ; WORKS"", ""object_id"": ""3203"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",24.93224724459219,35.40405518046672,33.440770480284456,34.76711341106142
PCI-2.6.2-06,under_construction,895.4,2029,True,1000.0,"{ ""pci_code"": ""2.6.2"", ""corridor"": ""NSI East Electricity"", ""short_title"": ""EuroAsia Kofinou (CY)-Crete (EL) line"", ""full_title"": ""Interconnection between Kofinou (CY) and Korakia, Crete (EL)"", ""description"": ""<p>The project forms part of the Cluster 2.6. Its main objective is the construction and commissioning of the electricity interconnector between Cyprus and Greece (Crete). The interconnector will have a capacity of 1000 MW and +\/- 500kVdc bipolar configuration, with an offshore length of approx. 898 km between Cyprus and Greece (Crete), while its onshore length will be approx. 23 km (around 13 km in Cyprus and 10 km in Greece (Crete). Converter stations will be of the Voltage Source Converter (VSC) and will allow for reverse transmission of electricity. The installation depth of the cable in some areas between CY and EL is expected to reach 3000 m.<\/p>\n"", ""countries"": ""CY, EL"", ""promoters"": ""Independent Power Transmission Operator (IPTO) (EL)"", ""project_sheet"": ""https:\/\/ec.europa.eu\/assets\/cinea\/project_fiches\/cef\/cef_energy\/3.10.1-0004-CYEL-S-M-16.pdf ; https:\/\/ec.europa.eu\/assets\/cinea\/project_fiches\/cef\/cef_energy\/3.10.1-0028-CY-S-M-14.pdf ; https:\/\/ec.europa.eu\/info\/funding-tenders\/opportunities\/portal\/screen\/opportunities\/projects-details\/43251567\/101069980\/CEF2027"", ""studies_works"": ""Studies ; WORKS"", ""object_id"": ""3204"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",24.932244391542838,35.40405301021132,33.440770480284456,34.76711341106142
PCI-2.6.2-07,under_construction,12.6,2029,True,1000.0,"{ ""pci_code"": ""2.6.2"", ""corridor"": ""NSI East Electricity"", ""short_title"": ""EuroAsia Kofinou (CY)-Crete (EL) line"", ""full_title"": ""Interconnection between Kofinou (CY) and Korakia, Crete (EL)"", ""description"": ""<p>The project forms part of the Cluster 2.6. Its main objective is the construction and commissioning of the electricity interconnector between Cyprus and Greece (Crete). The interconnector will have a capacity of 1000 MW and +\/- 500kVdc bipolar configuration, with an offshore length of approx. 898 km between Cyprus and Greece (Crete), while its onshore length will be approx. 23 km (around 13 km in Cyprus and 10 km in Greece (Crete). Converter stations will be of the Voltage Source Converter (VSC) and will allow for reverse transmission of electricity. The installation depth of the cable in some areas between CY and EL is expected to reach 3000 m.<\/p>\n"", ""countries"": ""CY, EL"", ""promoters"": ""Independent Power Transmission Operator (IPTO) (EL)"", ""project_sheet"": ""https:\/\/ec.europa.eu\/assets\/cinea\/project_fiches\/cef\/cef_energy\/3.10.1-0004-CYEL-S-M-16.pdf ; https:\/\/ec.europa.eu\/assets\/cinea\/project_fiches\/cef\/cef_energy\/3.10.1-0028-CY-S-M-14.pdf ; https:\/\/ec.europa.eu\/info\/funding-tenders\/opportunities\/portal\/screen\/opportunities\/projects-details\/43251567\/101069980\/CEF2027"", ""studies_works"": ""Studies ; WORKS"", ""object_id"": ""3205"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",33.393842256280074,34.83231700546212,33.440770480284456,34.76711341106142
PCI-1.4.1,in_permitting,248.9,2027,True,2000.0,"{ ""pci_code"": ""1.4.1"", ""corridor"": ""NSI West Electricity"", ""short_title"": ""A-Nord (DE)"", ""full_title"": ""Internal line from Emden-East to Osterath to increase capacity from Northern Germany to the Rhineland [currently known as “A-Nord”]"", ""description"": ""<p>A grid expansion project [currently known as &quot;A-North&quot;] for low-loss transmission of high power over long distances from Northern Germany, a region characterised by a large number of regenerative onshore and offshore energy sources, to the high-production region of Rhineland. It consists of two new HVDC cables of 300 km with a transfer capacity of 2.4 GW connecting Emden-East to Osterath.<\/p>\n\n<p>Note: the project is split into different phases and first sections plan to start construction from May 2024.<\/p>\n"", ""countries"": ""DE"", ""promoters"": ""AMPRION GmbH (DE)"", ""project_sheet"": ""Null"", ""studies_works"": ""Null"", ""object_id"": ""1035"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",6.625866999964485,51.260839000201905,7.292889999897967,53.380642000096316
PCI-1.4.3,in_planning,204.0,2032,True,2000.0,"{ ""pci_code"": ""1.4.3"", ""corridor"": ""NSI West Electricity"", ""short_title"": ""Korridor B (DE)"", ""full_title"": ""Internal line from Wilhelmshaven to Uentrop to increase capacity from Northern Germany to the Ruhr-Area [currently known as \""Korridor B\""]"", ""description"": ""<p>The project is part of the grid expansion project [currently known as &quot;Korridor B&quot;] for low-loss transmission of high power over long distances from Northern Germany, a region characterised by a large number of regenerative onshore and offshore energy sources, to the high-production region Ruhr-Area. It consists of a new HVDC cable of approximately 270 km from Wilhelmshaven to Hamm\/Uentrop, with a transfer capacity of 2 GW.<\/p>\n"", ""countries"": ""DE"", ""promoters"": ""AMPRION GmbH (DE)"", ""project_sheet"": ""Null"", ""studies_works"": ""Null"", ""object_id"": ""984"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",7.942001500364576,51.690337499232626,8.111156000316152,53.52030149979187
PCI-2.7,under_consideration,61.8,2035,True,1694.0,"{ ""pci_code"": ""2.7"", ""corridor"": ""NSI East Electricity"", ""short_title"": "" Otrokovice (CZ) - Ladce (SK)"", ""full_title"": ""Interconnector between Otrokovice (CZ) - Ladce (SK)"", ""description"": ""<p style=\""text-align:justify\"">A construction of a new AC 400 kV cross-border OHL single-circuit line between the 420 kV substations Otrokovice (CZ) and Ladce (SK) with a total length of 78 km and a transmission capacity 1694 MW. Taking into consideration the ongoing gradual decommissioning of the 220 kV transmission network and its replacement by 400 kV grid on both Czech and Slovak systems including the common profile, the construction of the new 400 kV interconnector is one of the measures aiming at replacing the existing 220 kV interconnectors and increasing the transmission capacity on the Czech-Slovak border.<\/p>\n"", ""countries"": ""CZ, SK"", ""promoters"": ""SEPS (SK) ; ČEPS a.s. (CZ)"", ""project_sheet"": ""Null"", ""studies_works"": ""Null"", ""object_id"": ""1605"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",17.5616941397124,49.218135813083876,18.13119198010163,49.181617297152926
PCI-3.6-05,under_consideration,228.7,2035,True,700.0,"{ ""pci_code"": ""3.6"", ""corridor"": ""BEMIP Electricity"", ""short_title"": ""Estlink 3"", ""full_title"": ""Interconnection between Finland and Estonia [currently known as \""Estlink 3\"" ]"", ""description"": ""<p style=\""text-align: justify;\"">Estlink 3 consists of three&nbsp;main parts:<\/p>\n\n<p style=\""text-align: justify;\"">- New HVDC subsea cable interconnector between Finland and Estonia (450 kV DC 700 MW 120 km) together with converter stations (VCS type converter),&nbsp;<\/p>\n\n<p style=\""text-align: justify;\"">- New OHLs in Finland (400 kV 100 km) and Estonia (330 kV 100 km),<\/p>\n\n<p style=\""text-align: justify;\"">- Grid reinforcements in Estonia (292,8 km km of 330kV OHL) and Finland (TBD),<\/p>\n\n<p style=\""text-align: justify;\"">Total lenght of connection 612,8 km (120 km DC cable with VCS type converters; 200 km new AC OHL; 292,8 km reconstructed AC OHL) additional cross-border capacity 700MW.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<\/p>\n\n<p style=\""text-align:left\"">&nbsp;<\/p>\n\n<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;<\/p>\n"", ""countries"": ""EE, FI"", ""promoters"": ""Elering AS (EE) ; Fingrid (FI)"", ""project_sheet"": ""Null"", ""studies_works"": ""Null"", ""object_id"": ""3547"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",24.91923000035515,60.74837400003404,24.05355399956425,59.09460899993896
PCI-3.3.6-03,in_permitting,292.1,2033,True,700.0,"{ ""pci_code"": ""3.3.6"", ""corridor"": ""BEMIP Electricity"", ""short_title"": ""Harmony link (LT, PL)"", ""full_title"": ""Interconnection between Lithuania and Poland [currently known as Harmony Link]"", ""description"": ""<p>The new interconnection between Lithuania and Poland is known as Harmony Link. The project consists of three main parts:<\/p>\n\n<p>- construction\/extension of substations in Poland,<\/p>\n\n<p>- construction\/extension of substations in Lithuania and<\/p>\n\n<p>- links between substations.<\/p>\n\n<p>The construction of Harmony Link should bring approx. 700MW capacities to be offered to market participants.<\/p>\n\n<p>Currently there are two technical solutions being considered: offshore HVDC (Darbėnai (LT) to Żarnowiec (PL)) and onshore 220 kV AC (Gižai (LT) to Ełk (PL)\/Ostrołęka (PL)).The Final decision regarding the technical solution will be reached after extensive studies by the end of 2024 taking into account time and cost of implementation.<\/p>\n"", ""countries"": ""LT, PL"", ""promoters"": ""LITGRID AB (LT) ; PSE S.A. (PL) "", ""project_sheet"": ""https:\/\/ec.europa.eu\/assets\/cinea\/project_fiches\/cef\/cef_energy\/4.8.10-0005-LVEE-W-M-20.pdf"", ""studies_works"": ""Works"", ""object_id"": ""3544"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",18.105045663052778,54.7173265350917,21.306485205763426,56.04232199711962
PCI-3.3.6-04,in_permitting,204.6,2033,True,700.0,"{ ""pci_code"": ""3.3.6"", ""corridor"": ""BEMIP Electricity"", ""short_title"": ""Harmony link (LT, PL)"", ""full_title"": ""Interconnection between Lithuania and Poland [currently known as Harmony Link]"", ""description"": ""<p>The new interconnection between Lithuania and Poland is known as Harmony Link. The project consists of three main parts:<\/p>\n\n<p>- construction\/extension of substations in Poland,<\/p>\n\n<p>- construction\/extension of substations in Lithuania and<\/p>\n\n<p>- links between substations.<\/p>\n\n<p>The construction of Harmony Link should bring approx. 700MW capacities to be offered to market participants.<\/p>\n\n<p>Currently there are two technical solutions being considered: offshore HVDC (Darbėnai (LT) to Żarnowiec (PL)) and onshore 220 kV AC (Gižai (LT) to Ełk (PL)\/Ostrołęka (PL)).The Final decision regarding the technical solution will be reached after extensive studies by the end of 2024 taking into account time and cost of implementation.<\/p>\n"", ""countries"": ""LT, PL"", ""promoters"": ""LITGRID AB (LT) ; PSE S.A. (PL) "", ""project_sheet"": ""https:\/\/ec.europa.eu\/assets\/cinea\/project_fiches\/cef\/cef_energy\/4.8.10-0005-LVEE-W-M-20.pdf"", ""studies_works"": ""Works"", ""object_id"": ""3545"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",23.216085999704923,54.590281000060536,21.624687329646484,53.10653130267672
PCI-1.6,in_permitting,258.3,2026,True,2000.0,"{ ""pci_code"": ""1.6"", ""corridor"": ""NSI West Electricity"", ""short_title"": ""Ultranet (DE)"", ""full_title"": ""Internal line between Osterath and Philippsburg (DE) to increase capacity at Western borders [currently known as \""Ultranet\""]"", ""description"": ""<p>The Ultranet project consists of a 2 GW HVDC-connection of approximately 340 km from the Region of Osterath (Rhineland) to the Region of Philippsburg (Baden-W&uuml;rttemberg). It&#39;s a pilot project with DC circuits on the same pylons as AC lines. It represents a separate subsection for the large-scale transmission link from the North Sea coast to Baden-W&uuml;rttemberg (together with project 1.4.1).<\/p>\n\n<p>Note: the project is split into different phases and the first sections started construction in 2023.<\/p>\n"", ""countries"": ""DE"", ""promoters"": ""Amprion GmbH (DE) ; TransnetBW GmbH (DE)"", ""project_sheet"": ""Null"", ""studies_works"": ""Null"", ""object_id"": ""1003"", ""layer_name"": ""Electricity line"", ""geometry_type"": ""esriGeometryPolyline"" }",6.625866999964485,51.260839000201905,8.441308999922063,49.2512549999802
